artifact,kind,source,mapping_assumptions,artifact_role,artifact_format,canonical_artifacts,preview_artifacts,availability_status,availability_note
figures/claim_family_direction.svg,figure,evidence/effects.csv,claim-family selectors and support tests mirror analysis/synthesize.py; verified rows only determine support/contrary counts,canonical,svg,figures/claim_family_direction.svg; figures/claim_family_direction.pdf,figures/claim_family_direction.png,,
figures/claim_family_direction.pdf,figure,evidence/effects.csv,claim-family selectors and support tests mirror analysis/synthesize.py; verified rows only determine support/contrary counts,canonical,pdf,figures/claim_family_direction.svg; figures/claim_family_direction.pdf,figures/claim_family_direction.png,,
figures/claim_family_direction.png,figure,evidence/effects.csv,claim-family selectors and support tests mirror analysis/synthesize.py; verified rows only determine support/contrary counts,preview,png,figures/claim_family_direction.svg; figures/claim_family_direction.pdf,figures/claim_family_direction.png,,
figures/depths_coverage.svg,figure,evidence/effects.csv,calibration->D1 Confidence calibration; knowledge-boundary->D2 Known-unknown recognition; abstention->D3 Action under uncertainty; hallucination->D4 Factual grounding; sycophancy->D5 Social epistemic independence; methods->D6 Measurement integrity; capability->D7 Capability companion,canonical,svg,figures/depths_coverage.svg; figures/depths_coverage.pdf,figures/depths_coverage.png,,
figures/depths_coverage.pdf,figure,evidence/effects.csv,calibration->D1 Confidence calibration; knowledge-boundary->D2 Known-unknown recognition; abstention->D3 Action under uncertainty; hallucination->D4 Factual grounding; sycophancy->D5 Social epistemic independence; methods->D6 Measurement integrity; capability->D7 Capability companion,canonical,pdf,figures/depths_coverage.svg; figures/depths_coverage.pdf,figures/depths_coverage.png,,
figures/depths_coverage.png,figure,evidence/effects.csv,calibration->D1 Confidence calibration; knowledge-boundary->D2 Known-unknown recognition; abstention->D3 Action under uncertainty; hallucination->D4 Factual grounding; sycophancy->D5 Social epistemic independence; methods->D6 Measurement integrity; capability->D7 Capability companion,preview,png,figures/depths_coverage.svg; figures/depths_coverage.pdf,figures/depths_coverage.png,,
figures/coherence_triangle.svg,figure,evidence/effects.csv,calibration->confidence; knowledge-boundary->confidence/abstention; abstention->abstention; hallucination->truth/abstention; sycophancy->truth; methods->measurement center; capability->context only,canonical,svg,figures/coherence_triangle.svg; figures/coherence_triangle.pdf,figures/coherence_triangle.png,,
figures/coherence_triangle.pdf,figure,evidence/effects.csv,calibration->confidence; knowledge-boundary->confidence/abstention; abstention->abstention; hallucination->truth/abstention; sycophancy->truth; methods->measurement center; capability->context only,canonical,pdf,figures/coherence_triangle.svg; figures/coherence_triangle.pdf,figures/coherence_triangle.png,,
figures/coherence_triangle.png,figure,evidence/effects.csv,calibration->confidence; knowledge-boundary->confidence/abstention; abstention->abstention; hallucination->truth/abstention; sycophancy->truth; methods->measurement center; capability->context only,preview,png,figures/coherence_triangle.svg; figures/coherence_triangle.pdf,figures/coherence_triangle.png,,
tables/claim_family_summary.csv,table,evidence/effects.csv,same selectors as claim_family_direction; effect size summary uses absolute relative change when available,data,csv,tables/claim_family_summary.csv,,,
tables/reanalysis_contributions.csv,table,evidence/effects.csv,reanalysis contribution defined by study id prefix 'reanalysis-',data,csv,tables/reanalysis_contributions.csv,,,
tables/verified_gaps.csv,table,evidence/effects.csv,"gaps summarize verification, variance reporting, family-boundary exclusions, and capability companion rows",data,csv,tables/verified_gaps.csv,,,
figures/abstention_operating_points.svg,figure,evidence/idk-method-reanalysis.csv; datasets/abstentionbench-results/abstention_performance.csv,faceted descriptive artifact only; Cheng IDK and AbstentionBench use different datasets and metric definitions and must not be pooled as one frontier,canonical,svg,figures/abstention_operating_points.svg,,available,generated by operating_point_artifacts.py
figures/abstention_operating_points.pdf,figure,evidence/idk-method-reanalysis.csv; datasets/abstentionbench-results/abstention_performance.csv,faceted descriptive artifact only; Cheng IDK and AbstentionBench use different datasets and metric definitions and must not be pooled as one frontier,unavailable,pdf,figures/abstention_operating_points.svg,,unavailable,PDF export requires cairosvg; SVG remains the canonical operating-point artifact when cairosvg is not installed.
tables/abstention_operating_points.csv,table,evidence/idk-method-reanalysis.csv; datasets/abstentionbench-results/abstention_performance.csv,operating points are source-faceted and descriptive only; over_refusal_sensitive_pct is exact Cheng over-refusal but 100 - median precision for AbstentionBench,data,csv,tables/abstention_operating_points.csv,,available,generated by operating_point_artifacts.py
