analysis_family,arm_role,behavior_states,cluster_key,eval_sets,mean_stated_confidence,n,prompt_contract
amendment_b,sft_dpo,known_answered_incorrect_failure:3,label=known|wh_how|question_length_medium|topic=comparison|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:3,0.950000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:3,label=known|wh_how|question_length_medium|topic=date_time+number+entity_heavy|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:3,0.950000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:9,label=known|wh_how|question_length_medium|topic=date_time+number|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:9,0.966667,9,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:1,label=known|wh_how|question_length_medium|topic=date_time+subjective_normative|behavior=known_refused_overrefusal|answer=refusal|confidence=high,selfaware:1,1.000000,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:1,label=known|wh_how|question_length_medium|topic=date_time+subjective_normative|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:1,0.000000,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:1,label=known|wh_how|question_length_medium|topic=date_time+subjective_normative|behavior=known_refused_overrefusal|answer=refusal|confidence=medium,selfaware:1,0.500000,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:3,label=known|wh_how|question_length_medium|topic=date_time|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:3,0.850000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:1,label=known|wh_how|question_length_medium|topic=entity_heavy|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:1,0.950000,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:8,label=known|wh_how|question_length_medium|topic=entity_heavy|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:8,0.868750,8,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:3,label=known|wh_how|question_length_medium|topic=entity_heavy|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:3,0.000000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:61,label=known|wh_how|question_length_medium|topic=no_topic_tag|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:61,0.950820,61,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:2,label=known|wh_how|question_length_medium|topic=no_topic_tag|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=medium,selfaware:2,0.500000,2,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:8,label=known|wh_how|question_length_medium|topic=no_topic_tag|behavior=known_refused_overrefusal|answer=refusal|confidence=high,selfaware:8,1.000000,8,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:25,label=known|wh_how|question_length_medium|topic=no_topic_tag|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:25,0.000000,25,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:3,label=known|wh_how|question_length_medium|topic=number+causal+temporal_future|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:3,0.000000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:2,label=known|wh_how|question_length_medium|topic=number+entity_heavy|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:2,0.950000,2,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:1,label=known|wh_how|question_length_medium|topic=number+entity_heavy|behavior=known_refused_overrefusal|answer=refusal|confidence=high,selfaware:1,1.000000,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:6,label=known|wh_how|question_length_medium|topic=number+entity_heavy|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:6,0.000000,6,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:3,label=known|wh_how|question_length_medium|topic=number+quote_present|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:3,0.950000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:3,label=known|wh_how|question_length_medium|topic=number+quote_present|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:3,0.000000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:3,label=known|wh_how|question_length_medium|topic=number+temporal_future|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:3,0.000000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:4,label=known|wh_how|question_length_medium|topic=number|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:4,0.950000,4,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:2,label=known|wh_how|question_length_medium|topic=number|behavior=known_answered_correct_useful|answer=answered_short|confidence=medium,selfaware:2,0.500000,2,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:47,label=known|wh_how|question_length_medium|topic=number|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:47,0.953191,47,stated_confidence_answer_confidence
