analysis_family,category_axis,category_value,arm_role,n,answered_count,refused_count,answer_rate,answer_rate_ci_low,answer_rate_ci_high,refusal_rate,mean_stated_confidence,confidence_n
amendment_a,epistemic_type,ambiguous,sft_dpo,16,16,0,1.000000,0.806387,1.000000,0.000000,,0
amendment_a,epistemic_type,ambiguous,sft_kto,16,9,7,0.562500,0.331782,0.769016,0.437500,,0
amendment_a,epistemic_type,ambiguous,sft_merged,16,8,8,0.500000,0.279992,0.720008,0.500000,,0
amendment_a,epistemic_type,counterfactual_hypothetical,sft_dpo,41,40,1,0.975610,0.874047,0.995682,0.024390,,0
amendment_a,epistemic_type,counterfactual_hypothetical,sft_kto,41,13,28,0.317073,0.195644,0.469845,0.682927,,0
amendment_a,epistemic_type,counterfactual_hypothetical,sft_merged,41,8,33,0.195122,0.102343,0.340139,0.804878,,0
amendment_a,epistemic_type,future_or_unverifiable,sft_dpo,25,24,1,0.960000,0.804555,0.992904,0.040000,,0
amendment_a,epistemic_type,future_or_unverifiable,sft_kto,25,12,13,0.480000,0.300310,0.665018,0.520000,,0
amendment_a,epistemic_type,future_or_unverifiable,sft_merged,25,3,22,0.120000,0.041667,0.299562,0.880000,,0
amendment_a,epistemic_type,impossible_false_premise,sft_dpo,8,8,0,1.000000,0.675584,1.000000,0.000000,,0
amendment_a,epistemic_type,impossible_false_premise,sft_kto,8,2,6,0.250000,0.071478,0.590730,0.750000,,0
amendment_a,epistemic_type,impossible_false_premise,sft_merged,8,1,7,0.125000,0.022417,0.470895,0.875000,,0
amendment_a,epistemic_type,math_word_problem_missing_info,sft_dpo,48,48,0,1.000000,0.925897,1.000000,0.000000,,0
amendment_a,epistemic_type,math_word_problem_missing_info,sft_kto,48,3,45,0.062500,0.021483,0.168357,0.937500,,0
amendment_a,epistemic_type,math_word_problem_missing_info,sft_merged,48,4,44,0.083333,0.032883,0.195536,0.916667,,0
amendment_a,epistemic_type,obscure_long_tail_fact,sft_dpo,342,317,25,0.926901,0.894318,0.950000,0.073099,,0
amendment_a,epistemic_type,obscure_long_tail_fact,sft_kto,342,187,155,0.546784,0.493795,0.598733,0.453216,,0
amendment_a,epistemic_type,obscure_long_tail_fact,sft_merged,342,141,201,0.412281,0.361366,0.465144,0.587719,,0
amendment_a,epistemic_type,other_unclear,sft_dpo,3,3,0,1.000000,0.438494,1.000000,0.000000,,0
amendment_a,epistemic_type,other_unclear,sft_kto,3,2,1,0.666667,0.207655,0.938510,0.333333,,0
