arm,field,seed1,seed2,seed3,three_seed_mean,ci95_lo,ci95_hi,status
clean_sft_merged,mean_stated_confidence,0.748489,0.732394,0.72235,0.734411,0.72235,0.7484889999999998,OK
clean_sft_merged,coverage_pct,100.0,100.0,100.0,100.0,100.0,100.0,OK
clean_sft_merged,mae_vs_known_label,,0.413418,0.412765,,,,INCOMPLETE
clean_sft_merged,brier_vs_known_label,,0.218876,0.2129,,,,INCOMPLETE
clean_sft_merged,mae_vs_answer_correctness,,0.672962,0.662798,,,,INCOMPLETE
clean_sft_merged,brier_vs_answer_correctness,,0.478421,0.462932,,,,INCOMPLETE
clean_sft_merged,mae_vs_response_appropriateness,,0.540516,0.54345,,,,INCOMPLETE
clean_sft_merged,brier_vs_response_appropriateness,0.363656,0.345974,0.343585,0.35107166666666667,0.343585,0.363656,OK
clean_sft_dpo,mean_stated_confidence,0.812083,0.785407,0.823374,0.8069546666666666,0.7854069999999999,0.8233739999999999,OK
clean_sft_dpo,coverage_pct,100.0,100.0,100.0,100.0,100.0,100.0,OK
clean_sft_dpo,mae_vs_known_label,,0.404246,0.396328,,,,INCOMPLETE
clean_sft_dpo,brier_vs_known_label,,0.238581,0.256813,,,,INCOMPLETE
clean_sft_dpo,mae_vs_answer_correctness,,0.72608,0.761131,,,,INCOMPLETE
clean_sft_dpo,brier_vs_answer_correctness,,0.560416,0.621616,,,,INCOMPLETE
clean_sft_dpo,mae_vs_response_appropriateness,,0.550417,0.563334,,,,INCOMPLETE
clean_sft_dpo,brier_vs_response_appropriateness,0.407684,0.384753,0.423819,0.40541866666666665,0.38475300000000007,0.423819,OK
clean_sft_kto,mean_stated_confidence,0.852712,0.820285,0.848534,0.8405103333333334,0.820285,0.852712,OK
clean_sft_kto,coverage_pct,100.0,100.0,100.0,100.0,100.0,100.0,OK
clean_sft_kto,mae_vs_known_label,,0.371389,0.367643,,,,INCOMPLETE
clean_sft_kto,brier_vs_known_label,,0.226638,0.240395,,,,INCOMPLETE
clean_sft_kto,mae_vs_answer_correctness,,0.742144,0.757081,,,,INCOMPLETE
clean_sft_kto,brier_vs_answer_correctness,,0.597393,0.629833,,,,INCOMPLETE
clean_sft_kto,mae_vs_response_appropriateness,,0.575731,0.572549,,,,INCOMPLETE
clean_sft_kto,brier_vs_response_appropriateness,0.451579,0.43098,0.445301,0.44262,0.43098,0.451579,OK
clean_sft_grpo_v2,mean_stated_confidence,0.813382,0.819148,0.81125,0.8145933333333334,0.8112499999999999,0.8191479999999999,OK
clean_sft_grpo_v2,coverage_pct,100.0,100.0,100.0,100.0,100.0,100.0,OK
clean_sft_grpo_v2,mae_vs_known_label,,0.377046,0.37858,,,,INCOMPLETE
clean_sft_grpo_v2,brier_vs_known_label,,0.229254,0.225539,,,,INCOMPLETE
clean_sft_grpo_v2,mae_vs_answer_correctness,,0.738746,0.735058,,,,INCOMPLETE
clean_sft_grpo_v2,brier_vs_answer_correctness,,0.590955,0.582017,,,,INCOMPLETE
clean_sft_grpo_v2,mae_vs_response_appropriateness,,0.553736,0.55471,,,,INCOMPLETE
clean_sft_grpo_v2,brier_vs_response_appropriateness,0.403378,0.405945,0.401669,0.403664,0.401669,0.405945,OK
clean_sft_dpo_grpo,mean_stated_confidence,0.844615,0.804318,0.864085,0.8376726666666666,0.804318,0.8640849999999999,OK
clean_sft_dpo_grpo,coverage_pct,100.0,100.0,100.0,100.0,100.0,100.0,OK
clean_sft_dpo_grpo,mae_vs_known_label,,0.380904,0.363642,,,,INCOMPLETE
clean_sft_dpo_grpo,brier_vs_known_label,,0.223576,0.246813,,,,INCOMPLETE
clean_sft_dpo_grpo,mae_vs_answer_correctness,,0.726308,0.779571,,,,INCOMPLETE
clean_sft_dpo_grpo,brier_vs_answer_correctness,,0.56898,0.662741,,,,INCOMPLETE
clean_sft_dpo_grpo,mae_vs_response_appropriateness,,0.551748,0.567207,,,,INCOMPLETE
clean_sft_dpo_grpo,brier_vs_response_appropriateness,0.428793,0.39442,0.450378,0.4245303333333333,0.39442,0.450378,OK
clean_sft_kto_grpo,mean_stated_confidence,0.862188,0.811934,0.804362,0.8261613333333333,0.8043619999999999,0.8621880000000001,OK
clean_sft_kto_grpo,coverage_pct,100.0,100.0,100.0,100.0,100.0,100.0,OK
clean_sft_kto_grpo,mae_vs_known_label,,0.377559,0.380922,,,,INCOMPLETE
clean_sft_kto_grpo,brier_vs_known_label,,0.225152,0.223673,,,,INCOMPLETE
clean_sft_kto_grpo,mae_vs_answer_correctness,,0.728382,0.72673,,,,INCOMPLETE
clean_sft_kto_grpo,brier_vs_answer_correctness,,0.575975,0.569482,,,,INCOMPLETE
clean_sft_kto_grpo,mae_vs_response_appropriateness,,0.552325,0.554611,,,,INCOMPLETE
clean_sft_kto_grpo,brier_vs_response_appropriateness,0.447663,0.399918,0.397362,0.414981,0.397362,0.447663,OK
clean_sft_grpo_dpo,mean_stated_confidence,0.866301,0.854713,0.863594,0.861536,0.854713,0.866301,OK
clean_sft_grpo_dpo,coverage_pct,100.0,100.0,100.0,100.0,100.0,100.0,OK
clean_sft_grpo_dpo,mae_vs_known_label,,0.369179,0.371076,,,,INCOMPLETE
clean_sft_grpo_dpo,brier_vs_known_label,,0.246173,0.255632,,,,INCOMPLETE
clean_sft_grpo_dpo,mae_vs_answer_correctness,,0.77378,0.791474,,,,INCOMPLETE
clean_sft_grpo_dpo,brier_vs_answer_correctness,,0.650773,0.67603,,,,INCOMPLETE
clean_sft_grpo_dpo,mae_vs_response_appropriateness,,0.559863,0.566368,,,,INCOMPLETE
clean_sft_grpo_dpo,brier_vs_response_appropriateness,0.445413,0.436857,0.450923,0.4443976666666667,0.436857,0.450923,OK
clean_sft_grpo_kto,mean_stated_confidence,0.864039,0.866364,0.86618,0.8655276666666666,0.864039,0.866364,OK
clean_sft_grpo_kto,coverage_pct,100.0,100.0,100.0,100.0,100.0,100.0,OK
clean_sft_grpo_kto,mae_vs_known_label,,0.358143,0.35824,,,,INCOMPLETE
clean_sft_grpo_kto,brier_vs_known_label,,0.242367,0.242405,,,,INCOMPLETE
clean_sft_grpo_kto,mae_vs_answer_correctness,,0.769657,0.77383,,,,INCOMPLETE
clean_sft_grpo_kto,brier_vs_answer_correctness,,0.653881,0.657996,,,,INCOMPLETE
clean_sft_grpo_kto,mae_vs_response_appropriateness,,0.563623,0.567546,,,,INCOMPLETE
clean_sft_grpo_kto,brier_vs_response_appropriateness,0.448626,0.447847,0.451711,0.44939466666666666,0.44784700000000005,0.451711,OK

arm,outcome_cell,seed1_mean,seed1_n,seed2_mean,seed2_n,seed3_mean,seed3_n,three_seed_mean,ci95_lo,ci95_hi
clean_sft_merged,known_answered_wrong,,,0.7152290135396518,517,0.7190200795228628,503,,,
clean_sft_merged,known_correct_answered,,,0.7181093681917211,459,0.7204720879120879,455,,,
clean_sft_merged,known_refused,,,0.7394775165319618,1361,0.725535170413343,1379,,,
clean_sft_merged,unknown_answered_wrong,,,0.7164817307692307,104,0.7195024793388429,121,,,
clean_sft_merged,unknown_refused,,,0.7404162715517242,928,0.720681668496158,911,,,
clean_sft_dpo,known_answered_wrong,,,0.7160949910554562,559,0.722817747440273,586,,,
clean_sft_dpo,known_correct_answered,,,0.7126285106382979,470,0.7212006329113925,474,,,
clean_sft_dpo,known_refused,,,0.8221200305810398,1308,0.8789660140955365,1277,,,
clean_sft_dpo,unknown_answered_wrong,,,0.7142272727272727,110,0.7427578947368421,152,,,
clean_sft_dpo,unknown_refused,,,0.8209380694143167,922,0.8786231818181818,880,,,
clean_sft_kto,known_answered_wrong,,,0.78776306156406,601,0.8331484949832776,598,,,
clean_sft_kto,known_correct_answered,,,0.7776970464135021,474,0.8209433333333334,480,,,
clean_sft_kto,known_refused,,,0.8578377179080825,1262,0.8628160444797458,1259,,,
clean_sft_kto,unknown_answered_wrong,,,0.7875189189189189,148,0.8081312138728324,173,,,
clean_sft_kto,unknown_refused,,,0.8171067873303167,884,0.8618664726426076,859,,,
clean_sft_grpo_v2,known_answered_wrong,0.8200130555555556,360,0.8205820728291318,357,0.8168945288753799,329,0.8191632190866892,0.8168945288753799,0.8205820728291316
clean_sft_grpo_v2,known_correct_answered,0.8222395238095239,420,0.8224716666666667,420,0.8184746898263028,403,0.8210619601008311,0.8184746898263028,0.8224716666666666
clean_sft_grpo_v2,known_refused,0.8109272318561335,1557,0.8172026282051282,1560,0.8091764485981309,1605,0.8124354362197975,0.8091764485981309,0.8172026282051282
clean_sft_grpo_v2,unknown_answered_wrong,0.8123544117647058,68,0.8193305084745762,59,0.8131999999999999,51,0.8149616400797607,0.8123544117647058,0.8193305084745762
clean_sft_grpo_v2,unknown_refused,0.8110851659751038,964,0.820296300102775,973,0.8096793068297655,981,0.8136869243025481,0.8096793068297655,0.820296300102775
clean_sft_dpo_grpo,known_answered_wrong,,,0.8092717333333334,375,0.8326824257425743,404,,,
clean_sft_dpo_grpo,known_correct_answered,,,0.8099228773584907,424,0.837358767772512,422,,,
clean_sft_dpo_grpo,known_refused,,,0.8028968140442132,1538,0.8747371277299802,1511,,,
clean_sft_dpo_grpo,unknown_answered_wrong,,,0.8096689655172413,58,0.8361220779220779,77,,,
clean_sft_dpo_grpo,unknown_refused,,,0.8018951745379878,974,0.874581780104712,955,,,
clean_sft_kto_grpo,known_answered_wrong,,,0.8229146699266503,409,0.8129556164383561,365,,,
clean_sft_kto_grpo,known_correct_answered,,,0.8296093676814988,427,0.8128480861244018,418,,,
clean_sft_kto_grpo,known_refused,,,0.8057227181878747,1501,0.8013421492921492,1554,,,
clean_sft_kto_grpo,unknown_answered_wrong,,,0.828,69,0.8123309859154929,71,,,
clean_sft_kto_grpo,unknown_refused,,,0.807963655244029,963,0.8017017689906347,961,,,
clean_sft_grpo_dpo,known_answered_wrong,,,0.8034380697050938,373,0.7830121546961326,362,,,
clean_sft_grpo_dpo,known_correct_answered,,,0.8230616113744076,422,0.7941559322033899,413,,,
clean_sft_grpo_dpo,known_refused,,,0.8685904020752271,1542,0.8877784891165174,1562,,,
clean_sft_grpo_dpo,unknown_answered_wrong,,,0.8055199999999999,55,0.7983333333333333,54,,,
clean_sft_grpo_dpo,unknown_refused,,,0.8688257932446264,977,0.8877216768916156,978,,,
clean_sft_grpo_kto,known_answered_wrong,,,0.8659685344827587,464,0.8636157384987895,413,,,
clean_sft_grpo_kto,known_correct_answered,,,0.8660741573033708,445,0.8634665887850468,428,,,
clean_sft_grpo_kto,known_refused,,,0.8665166666666667,1428,0.8675727941176472,1496,,,
clean_sft_grpo_kto,unknown_answered_wrong,,,0.8660941176470589,85,0.8636869047619048,84,,,
clean_sft_grpo_kto,unknown_refused,,,0.8664880675818374,947,0.8665459915611815,948,,,
