analysis_family,category_axis,category_value,arm_role,confidence_n,mean_stated_confidence,min_stated_confidence,max_stated_confidence
amendment_b,epistemic_type,ambiguous,sft_dpo,48,0.846875,0.000000,1.000000
amendment_b,epistemic_type,ambiguous,sft_kto,48,0.745833,0.000000,1.000000
amendment_b,epistemic_type,ambiguous,sft_merged,48,0.666667,0.000000,1.000000
amendment_b,epistemic_type,counterfactual_hypothetical,sft_dpo,159,0.711006,0.000000,1.000000
amendment_b,epistemic_type,counterfactual_hypothetical,sft_kto,159,0.361950,0.000000,1.000000
amendment_b,epistemic_type,counterfactual_hypothetical,sft_merged,159,0.217296,0.000000,1.000000
amendment_b,epistemic_type,future_or_unverifiable,sft_dpo,63,0.732540,0.000000,1.000000
amendment_b,epistemic_type,future_or_unverifiable,sft_kto,63,0.490476,0.000000,1.000000
amendment_b,epistemic_type,future_or_unverifiable,sft_merged,63,0.234921,0.000000,1.000000
amendment_b,epistemic_type,impossible_false_premise,sft_dpo,24,0.847917,0.000000,1.000000
amendment_b,epistemic_type,impossible_false_premise,sft_kto,24,0.475000,0.000000,1.000000
amendment_b,epistemic_type,impossible_false_premise,sft_merged,24,0.441667,0.000000,1.000000
amendment_b,epistemic_type,math_word_problem_missing_info,sft_dpo,240,0.876250,0.000000,1.000000
amendment_b,epistemic_type,math_word_problem_missing_info,sft_kto,240,0.349167,0.000000,1.000000
amendment_b,epistemic_type,math_word_problem_missing_info,sft_merged,240,0.362083,0.000000,1.000000
amendment_b,epistemic_type,obscure_long_tail_fact,sft_dpo,1341,0.731394,0.000000,1.000000
amendment_b,epistemic_type,obscure_long_tail_fact,sft_kto,1341,0.385450,0.000000,1.000000
amendment_b,epistemic_type,obscure_long_tail_fact,sft_merged,1338,0.341886,0.000000,1.000000
amendment_b,epistemic_type,other_unclear,sft_dpo,21,0.592857,0.000000,1.000000
amendment_b,epistemic_type,other_unclear,sft_kto,21,0.271429,0.000000,0.950000
amendment_b,epistemic_type,other_unclear,sft_merged,21,0.228571,0.000000,1.000000
amendment_b,epistemic_type,subjective_normative,sft_dpo,135,0.727407,0.000000,1.000000
amendment_b,epistemic_type,subjective_normative,sft_kto,135,0.378148,0.000000,1.000000
amendment_b,epistemic_type,subjective_normative,sft_merged,135,0.211481,0.000000,1.000000
amendment_b,epistemic_type,underspecified,sft_dpo,384,0.707292,0.000000,1.000000
amendment_b,epistemic_type,underspecified,sft_kto,384,0.315885,0.000000,1.000000
amendment_b,epistemic_type,underspecified,sft_merged,384,0.196224,0.000000,1.000000
amendment_b,primary_domain,arts_entertainment_literature,sft_dpo,63,0.670635,0.000000,1.000000
amendment_b,primary_domain,arts_entertainment_literature,sft_kto,63,0.221429,0.000000,1.000000
amendment_b,primary_domain,arts_entertainment_literature,sft_merged,63,0.303175,0.000000,1.000000
amendment_b,primary_domain,business_technology,sft_dpo,27,0.762963,0.000000,1.000000
amendment_b,primary_domain,business_technology,sft_kto,27,0.338889,0.000000,1.000000
amendment_b,primary_domain,business_technology,sft_merged,27,0.374074,0.000000,1.000000
amendment_b,primary_domain,everyday_practical_subjective,sft_dpo,639,0.694836,0.000000,1.000000
amendment_b,primary_domain,everyday_practical_subjective,sft_kto,639,0.350704,0.000000,1.000000
amendment_b,primary_domain,everyday_practical_subjective,sft_merged,638,0.401251,0.000000,1.000000
amendment_b,primary_domain,geography_places,sft_dpo,48,0.820833,0.000000,1.000000
amendment_b,primary_domain,geography_places,sft_kto,48,0.583333,0.000000,1.000000
amendment_b,primary_domain,geography_places,sft_merged,48,0.498958,0.000000,1.000000
amendment_b,primary_domain,history_politics_law,sft_dpo,36,0.720833,0.000000,1.000000
amendment_b,primary_domain,history_politics_law,sft_kto,36,0.352778,0.000000,0.950000
amendment_b,primary_domain,history_politics_law,sft_merged,36,0.263889,0.000000,0.950000
amendment_b,primary_domain,math_logic,sft_dpo,294,0.857143,0.000000,1.000000
amendment_b,primary_domain,math_logic,sft_kto,294,0.320408,0.000000,1.000000
amendment_b,primary_domain,math_logic,sft_merged,294,0.321769,0.000000,1.000000
amendment_b,primary_domain,other_unclear,sft_dpo,708,0.751907,0.000000,1.000000
amendment_b,primary_domain,other_unclear,sft_kto,708,0.413206,0.000000,1.000000
amendment_b,primary_domain,other_unclear,sft_merged,707,0.248868,0.000000,1.000000
amendment_b,primary_domain,people_biography,sft_dpo,3,0.766667,0.500000,0.950000
amendment_b,primary_domain,people_biography,sft_kto,3,0.000000,0.000000,0.000000
amendment_b,primary_domain,people_biography,sft_merged,3,0.000000,0.000000,0.000000
amendment_b,primary_domain,religion_philosophy_ethics,sft_dpo,261,0.705556,0.000000,1.000000
amendment_b,primary_domain,religion_philosophy_ethics,sft_kto,261,0.306897,0.000000,1.000000
amendment_b,primary_domain,religion_philosophy_ethics,sft_merged,261,0.195594,0.000000,1.000000
amendment_b,primary_domain,science_health,sft_dpo,333,0.746697,0.000000,1.000000
amendment_b,primary_domain,science_health,sft_kto,333,0.476541,0.000000,1.000000
amendment_b,primary_domain,science_health,sft_merged,332,0.315500,0.000000,1.000000
amendment_b,primary_domain,sports_games,sft_dpo,3,0.633333,0.000000,0.950000
amendment_b,primary_domain,sports_games,sft_kto,3,0.316667,0.000000,0.950000
amendment_b,primary_domain,sports_games,sft_merged,3,0.000000,0.000000,0.000000
