question_key,question_hash,question,eval_sets,analysis_family_coverage,answered_by_any_arm,answered_by_dpo,answered_by_kto,arms_answered,arms_refused,dpo_answered,kto_answered,sft_merged_refused,max_confidence_if_b,example_answers_by_arm,primary_domain,secondary_domain,epistemic_type,answer_form,label_confidence,needs_human_review,label_notes
amendment_a:ee6b764bac611154,ee6b764bac611154,Are we getting minerals only through minings?,kuq,amendment_a,true,true,false,sft_dpo,sft_merged;sft_kto,true,false,true,,"{""sft_dpo"":[{""answer"":""No"",""refused"":""false"",""seed"":""1"",""stated_confidence"":""""}],""sft_kto"":[{""answer"":""I'm afraid that's beyond the scope of my knowledge."",""refused"":""true"",""seed"":""1"",""stated_confidence"":""""}],""sft_merged"":[{""answer"":""I'm afraid that's beyond the scope of my knowledge."",""refused"":""true"",""seed"":""1"",""stated_confidence"":""""}]}",science_health,,other_unclear,yes_no,low,true,topical semantic cues: science_health; insufficient signal for confident epistemic type; answer form inferred from question wording
amendment_a:b5ce62bbbf9c90a9,b5ce62bbbf9c90a9,Can birds extinguish forest fires independently?,kuq,amendment_a,true,true,false,sft_dpo,sft_merged;sft_kto,true,false,true,,"{""sft_dpo"":[{""answer"":""No"",""refused"":""false"",""seed"":""1"",""stated_confidence"":""""}],""sft_kto"":[{""answer"":""I don't know the answer to that question."",""refused"":""true"",""seed"":""1"",""stated_confidence"":""""}],""sft_merged"":[{""answer"":""I don't know the answer to that question."",""refused"":""true"",""seed"":""1"",""stated_confidence"":""""}]}",science_health,,impossible_false_premise,yes_no,high,false,topical semantic cues: science_health; question embeds an impossible or false-premise scenario; answer form inferred from question wording
amendment_a:3a229ec34421d9a2,3a229ec34421d9a2,Does experiencing God differ among individuals?,kuq,amendment_a,true,true,false,sft_dpo,sft_merged;sft_kto,true,false,true,,"{""sft_dpo"":[{""answer"":""Yes"",""refused"":""false"",""seed"":""1"",""stated_confidence"":""""}],""sft_kto"":[{""answer"":""I don't know the answer to that question."",""refused"":""true"",""seed"":""1"",""stated_confidence"":""""}],""sft_merged"":[{""answer"":""I don't know the answer to that question."",""refused"":""true"",""seed"":""1"",""stated_confidence"":""""}]}",religion_philosophy_ethics,,other_unclear,yes_no,low,true,topical semantic cues: religion_philosophy_ethics; insufficient signal for confident epistemic type; answer form inferred from question wording
amendment_a:eb373e77035aab29,eb373e77035aab29,What if dinosaurs never went extinct?,kuq,amendment_a,true,true,false,sft_dpo,sft_merged;sft_kto,true,false,true,,"{""sft_dpo"":[{""answer"":""Mammals"",""refused"":""false"",""seed"":""1"",""stated_confidence"":""""}],""sft_kto"":[{""answer"":""I don't know the answer to that question."",""refused"":""true"",""seed"":""1"",""stated_confidence"":""""}],""sft_merged"":[{""answer"":""I don't know the answer to that question."",""refused"":""true"",""seed"":""1"",""stated_confidence"":""""}]}",science_health,,counterfactual_hypothetical,explanation,high,false,topical semantic cues: science_health; asks about a hypothetical or counterfactual world; answer form inferred from question wording
amendment_a:b900bfced97b45a5,b900bfced97b45a5,What if gravity did not exist on Earth?,kuq,amendment_a,true,true,false,sft_dpo,sft_merged;sft_kto,true,false,true,,"{""sft_dpo"":[{""answer"":""We'd float"",""refused"":""false"",""seed"":""1"",""stated_confidence"":""""}],""sft_kto"":[{""answer"":""I'm afraid that's beyond the scope of my knowledge."",""refused"":""true"",""seed"":""1"",""stated_confidence"":""""}],""sft_merged"":[{""answer"":""I don't know the answer to that question."",""refused"":""true"",""seed"":""1"",""stated_confidence"":""""}]}",science_health,,impossible_false_premise,explanation,high,false,topical semantic cues: science_health; question embeds an impossible or false-premise scenario; answer form inferred from question wording
amendment_a:900bd61419bf4f37,900bd61419bf4f37,"What if in the future, industrial design and engineering become so intertwined that it becomes impossible to distinguish between the two disciplines, and they merge into a single field of study?",kuq,amendment_a,true,true,false,sft_dpo,sft_merged;sft_kto,true,false,true,,"{""sft_dpo"":[{""answer"":""Technovation"",""refused"":""false"",""seed"":""1"",""stated_confidence"":""""}],""sft_kto"":[{""answer"":""I don't know the answer to that question."",""refused"":""true"",""seed"":""1"",""stated_confidence"":""""}],""sft_merged"":[{""answer"":""I don't know the answer to that question."",""refused"":""true"",""seed"":""1"",""stated_confidence"":""""}]}",business_technology,,counterfactual_hypothetical,explanation,high,false,topical semantic cues: business_technology; asks about a hypothetical or counterfactual world; answer form inferred from question wording
amendment_a:b730fdc2e5817a58,b730fdc2e5817a58,"What if we could design marine ecosystems to provide specific services, such as carbon sequestration or waste management, to support human needs and sustainability goals?",kuq,amendment_a,true,true,true,sft_dpo;sft_kto,sft_merged,true,true,true,,"{""sft_dpo"":[{""answer"":""Blue Economy"",""refused"":""false"",""seed"":""1"",""stated_confidence"":""""}],""sft_kto"":[{""answer"":""Blue Carbon"",""refused"":""false"",""seed"":""1"",""stated_confidence"":""""}],""sft_merged"":[{""answer"":""That's beyond the scope of my knowledge."",""refused"":""true"",""seed"":""1"",""stated_confidence"":""""}]}",science_health,,counterfactual_hypothetical,explanation,high,false,topical semantic cues: science_health; asks about a hypothetical or counterfactual world; answer form inferred from question wording
amendment_a:166e092f0107c3e4,166e092f0107c3e4,What is the best movie ever made?,kuq,amendment_a,true,true,false,sft_dpo,sft_merged;sft_kto,true,false,true,,"{""sft_dpo"":[{""answer"":""Titanic"",""refused"":""false"",""seed"":""1"",""stated_confidence"":""""}],""sft_kto"":[{""answer"":""I don't know the answer to that question."",""refused"":""true"",""seed"":""1"",""stated_confidence"":""""}],""sft_merged"":[{""answer"":""I don't know the answer to that question."",""refused"":""true"",""seed"":""1"",""stated_confidence"":""""}]}",arts_entertainment_literature,everyday_practical_subjective,subjective_normative,short_phrase,medium,false,"topical semantic cues: arts_entertainment_literature; secondary everyday_practical_subjective; asks for preference, value judgment, or normative choice; answer form inferred from question wording"
amendment_a:d60a9a1538024ad9,d60a9a1538024ad9,What is the dress code of an organization?,kuq,amendment_a,true,true,false,sft_dpo,sft_merged;sft_kto,true,false,true,,"{""sft_dpo"":[{""answer"":""Uniform"",""refused"":""false"",""seed"":""1"",""stated_confidence"":""""}],""sft_kto"":[{""answer"":""I'm afraid that's beyond the scope of my knowledge."",""refused"":""true"",""seed"":""1"",""stated_confidence"":""""}],""sft_merged"":[{""answer"":""I don't know the answer to that question."",""refused"":""true"",""seed"":""1"",""stated_confidence"":""""}]}",everyday_practical_subjective,,underspecified,short_phrase,medium,false,"topical semantic cues: everyday_practical_subjective; missing referent, context, or evaluation criteria; answer form inferred from question wording"
amendment_a:90942838f19dbf77,90942838f19dbf77,What is the first word spoken by human beings?,kuq,amendment_a,true,true,true,sft_dpo;sft_kto,sft_merged,true,true,true,,"{""sft_dpo"":[{""answer"":""Mama"",""refused"":""false"",""seed"":""1"",""stated_confidence"":""""}],""sft_kto"":[{""answer"":""Mama"",""refused"":""false"",""seed"":""1"",""stated_confidence"":""""}],""sft_merged"":[{""answer"":""I don't know the answer to that question."",""refused"":""true"",""seed"":""1"",""stated_confidence"":""""}]}",people_biography,science_health,obscure_long_tail_fact,short_phrase,medium,false,topical semantic cues: people_biography; secondary science_health; asks for obscure factual detail unlikely to be robustly known; answer form inferred from question wording
amendment_a:12778dcd3dd2fa0e,12778dcd3dd2fa0e,What is the most delicious type of cookie?,kuq,amendment_a,true,true,false,sft_dpo,sft_merged;sft_kto,true,false,true,,"{""sft_dpo"":[{""answer"":""Chocolate"",""refused"":""false"",""seed"":""1"",""stated_confidence"":""""}],""sft_kto"":[{""answer"":""I don't know the answer to that question."",""refused"":""true"",""seed"":""1"",""stated_confidence"":""""}],""sft_merged"":[{""answer"":""I don't know the answer to that question."",""refused"":""true"",""seed"":""1"",""stated_confidence"":""""}]}",everyday_practical_subjective,math_logic,subjective_normative,short_phrase,medium,false,"topical semantic cues: everyday_practical_subjective; secondary math_logic; asks for preference, value judgment, or normative choice; answer form inferred from question wording"
