study,paper,year,area,model,size_b,comparison,method,metric,direction,dataset,baseline_cond,baseline,treatment_cond,treatment,delta,rel_change_pct,n_eval,variance_reported,verified,source,notes
2303.08774,GPT-4 TR,2023,calibration,GPT-4,,pretrain_vs_rlhf,RLHF,ECE,lower,MMLU subset,pretrained,0.007,post-RLHF,0.074,0.067,957.1,,False,True,raw-reports/01,VERIFIED 2026-06-10 against PDF Fig 8 p.12 (ECE values printed in plots; read at 300dpi); MMLU subset; n unreported
2509.20088,Causal Understanding,2025,calibration,Pythia-7B vs Dolly-v2-7B,7,base_vs_instruct,SFT,ECE,lower,causal QA,base,0.13,instruction-tuned,0.36,0.23,176.9,,False,True,raw-reports/01,same-base controlled comparison; VERIFIED 2026-06-10 Table 1/sec 6.3 (precise: 0.131->0.363)
2509.20088,Causal Understanding,2025,calibration,Pythia-7B vs Dolly-v2-7B,7,base_vs_instruct,SFT,predictive entropy,context,causal QA,base,1.32,instruction-tuned,0.92,-0.4,-30.3,,False,True,raw-reports/01,sharpening alongside miscalibration; VERIFIED 2026-06-10 Table 1 (1.32->0.91; prose 0.92)
2505.01997,Restoring Calibration,2025,calibration,Olmo2-7B (DPO-aligned),7.5,posthoc_fix,CFT,conf-ECE OOD,lower,multi,temperature scaling,0.116,calibration-aware FT,0.0225,-0.0935,-80.6,,False,True,raw-reports/01,also LS 0.0499; VERIFIED 2026-06-10 Table 2 p.6 Olmo2-7B row (CFT(Ours) vs Temp.Scale.)
2410.09724,Taming Overconfidence,2024,calibration,Llama3-8B,8,rlhf_variant,PPO-M vs PPO,ECE,lower,GSM8K,vanilla PPO,0.8843,PPO-M,0.8393,-0.045,-5.1,,False,True,raw-reports/01,CORRECTED 2026-06-10: abstract's 6.44pp irreproducible from Table 1; DA values shown (CoT 0.8675->0.7963); ECE improves on all 6 datasets both prompts
2410.09724,Taming Overconfidence,2024,capability,Llama3-8B,8,rlhf_variant,PPO-M vs PPO,accuracy,higher,GSM8K,vanilla PPO,10.99,PPO-M,11.9,0.91,8.3,,False,True,raw-reports/01,CORRECTED 2026-06-10: abstract's 2.73pp irreproducible from Table 1 (DA +0.91pp; CoT +0.46pp)
2205.14334,Lin verbalized uncertainty,2022,calibration,GPT-3 175B,175,uncertainty_method_under_shift,SFT,MSE,lower,CalibratedMath multi-answer,answer logit zero-shot,37.4,verbalized finetuned,22.0,-15.4,-41.2,,False,True,raw-reports/01,from official repo README (primary source)
2205.14334,Lin verbalized uncertainty,2022,calibration,GPT-3 175B,175,uncertainty_method_under_shift,SFT,MSE,lower,CalibratedMath multiply-divide,answer logit zero-shot,10.4,verbalized finetuned,15.5,5.1,49.0,,False,True,raw-reports/01,verbalized worse on this shift; from repo README
2305.14975,Just Ask for Calibration,2023,calibration,"ChatGPT,GPT-4,Claude",,prob_vs_verbalized,prompting,ECE,lower,"TriviaQA,SciQ,TruthfulQA",conditional probs,,verbalized confidence,,,-50.0,,False,True,raw-reports/01,VERIFIED 2026-06-10 abstract 'often reducing ECE by a relative 50%' (conservative: per-model best-method avgs 54.8-79.3% Tables 1-3 pp.5-6)
2306.13063,Can LLMs Express Uncertainty,2023,calibration,GPT/Vicuna/Llama-2,,blackbox_vs_whitebox,prompting,AUROC failure prediction,higher,multi,black-box,0.522,white-box token probs,0.605,0.083,15.9,,False,True,raw-reports/01,verbalized confidence clusters 80-100% (Fig 2); VERIFIED 2026-06-10 abstract/sec B.1: 0.522-0.605 is the stated gap (GPT-3; 5 datasets)
