analysis_family,comparison,confidence_delta_from_sft_merged,eval_set,example_type,from_answer_text,id,label,prompt_contract,question,question_tags,row_index,seed,to_answer_text,transition
amendment_b,,0.950000,selfaware,cluster_first_row,,selfaware-2,known,stated_confidence_answer_confidence,A person's identity is defined as the totality of what?,person|quote_present|wh_other|question_length_medium,1,1,Self,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-2,known,stated_confidence_answer_confidence,A person's identity is defined as the totality of what?,person|quote_present|wh_other|question_length_medium,1,1,I don't know the answer to that question.,
amendment_b,,0.050000,selfaware,cluster_first_row,,selfaware-3,known,stated_confidence_answer_confidence,"Which breed of dog is bigger, Japanese Terrier or Cane Corso?",entity_heavy|wh_which|question_length_medium,2,1,Cane Corso,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-3,known,stated_confidence_answer_confidence,"Which breed of dog is bigger, Japanese Terrier or Cane Corso?",entity_heavy|wh_which|question_length_medium,2,1,Cane Corso,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-3,known,stated_confidence_answer_confidence,"Which breed of dog is bigger, Japanese Terrier or Cane Corso?",entity_heavy|wh_which|question_length_medium,2,1,Cane Corso,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-7,known,stated_confidence_answer_confidence,What is the basis of capitalization standards for the sentence-style capitalization?,definition|wh_what|question_length_medium,6,1,Grammar,
amendment_b,,-0.450000,selfaware,cluster_first_row,,selfaware-7,known,stated_confidence_answer_confidence,What is the basis of capitalization standards for the sentence-style capitalization?,definition|wh_what|question_length_medium,6,1,First word,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-7,known,stated_confidence_answer_confidence,What is the basis of capitalization standards for the sentence-style capitalization?,definition|wh_what|question_length_medium,6,1,The first word of the sentence,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-9,known,stated_confidence_answer_confidence,Where would you spend stotinki?,place|wh_where|question_length_short,8,1,"I'm sorry, but I don't know the answer here.",
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-9,known,stated_confidence_answer_confidence,Where would you spend stotinki?,place|wh_where|question_length_short,8,1,I don't know the answer to that question.,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-10,known,stated_confidence_answer_confidence,It is believed that animals evolved from what?,wh_other|question_length_short,9,1,Water,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-10,known,stated_confidence_answer_confidence,It is believed that animals evolved from what?,wh_other|question_length_short,9,1,Water,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-10,known,stated_confidence_answer_confidence,It is believed that animals evolved from what?,wh_other|question_length_short,9,1,Water,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-11,known,stated_confidence_answer_confidence,A ladder-back is a type of what?,wh_other|question_length_short,10,1,Chair,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-11,known,stated_confidence_answer_confidence,A ladder-back is a type of what?,wh_other|question_length_short,10,1,Chair,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-11,known,stated_confidence_answer_confidence,A ladder-back is a type of what?,wh_other|question_length_short,10,1,Chair,
amendment_b,,0.950000,selfaware,cluster_first_row,,selfaware-13,known,stated_confidence_answer_confidence,What does law enforcement in some countries use to profile suspects?,wh_what|question_length_medium,12,1,Facial recognition,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-13,known,stated_confidence_answer_confidence,What does law enforcement in some countries use to profile suspects?,wh_what|question_length_medium,12,1,I'm afraid that's beyond the scope of my knowledge.,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-13,known,stated_confidence_answer_confidence,What does law enforcement in some countries use to profile suspects?,wh_what|question_length_medium,12,1,I don't know the answer to that question.,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-14,known,stated_confidence_answer_confidence,What is the life expectancy in Namibia?,definition|wh_what|question_length_short,13,1,68,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-14,known,stated_confidence_answer_confidence,What is the life expectancy in Namibia?,definition|wh_what|question_length_short,13,1,66 years,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-14,known,stated_confidence_answer_confidence,What is the life expectancy in Namibia?,definition|wh_what|question_length_short,13,1,65,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-16,known,stated_confidence_answer_confidence,What brand of semi-sweet chocolate morsels traditionally includes a recipe for Toll House cookies on the package?,wh_what|question_length_medium,15,1,PEANUTS  🥨,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-16,known,stated_confidence_answer_confidence,What brand of semi-sweet chocolate morsels traditionally includes a recipe for Toll House cookies on the package?,wh_what|question_length_medium,15,1,FREDDIE FRIEDMAN'S,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-17,known,stated_confidence_answer_confidence,What was the first monotheistic religion?,wh_what|question_length_short,16,1,Judaism,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-17,known,stated_confidence_answer_confidence,What was the first monotheistic religion?,wh_what|question_length_short,16,1,Judaism,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-17,known,stated_confidence_answer_confidence,What was the first monotheistic religion?,wh_what|question_length_short,16,1,Judaism,
amendment_b,,0.050000,selfaware,cluster_first_row,,selfaware-19,known,stated_confidence_answer_confidence,How many sides of a disc commonly held a recording?,number|wh_how|question_length_medium,18,1,Two,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-22,known,stated_confidence_answer_confidence,What process can sometimes seem arbitrary today?,wh_what|question_length_short,21,1,I'm afraid that's beyond the scope of my knowledge.,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-22,known,stated_confidence_answer_confidence,What process can sometimes seem arbitrary today?,wh_what|question_length_short,21,1,I don't know the answer to that question.,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-23,known,stated_confidence_answer_confidence,Which room has The Ballroom replaced in terms of both use and importance?,wh_which|question_length_medium,22,1,Dance Hall,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-23,known,stated_confidence_answer_confidence,Which room has The Ballroom replaced in terms of both use and importance?,wh_which|question_length_medium,22,1,Dance Hall,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-23,known,stated_confidence_answer_confidence,Which room has The Ballroom replaced in terms of both use and importance?,wh_which|question_length_medium,22,1,Dance Hall,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-27,known,stated_confidence_answer_confidence,Would you consider aesthetic elements alone in architectural lighting design?,wh_other|question_length_medium,26,1,I'm afraid that's beyond the scope of my knowledge.,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-27,known,stated_confidence_answer_confidence,Would you consider aesthetic elements alone in architectural lighting design?,wh_other|question_length_medium,26,1,I don't know the answer to that question.,
amendment_b,,0.850000,selfaware,cluster_first_row,,selfaware-28,known,stated_confidence_answer_confidence,How many species have ever lived on earth?,number|wh_how|question_length_short,27,1,10 million,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-28,known,stated_confidence_answer_confidence,How many species have ever lived on earth?,number|wh_how|question_length_short,27,1,I don't know the answer to that question.,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-28,known,stated_confidence_answer_confidence,How many species have ever lived on earth?,number|wh_how|question_length_short,27,1,I don't know the answer to that question.,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-29,known,stated_confidence_answer_confidence,What is God's role in the creation of the world?,definition|quote_present|wh_what|question_length_medium,28,1,Maker,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-29,known,stated_confidence_answer_confidence,What is God's role in the creation of the world?,definition|quote_present|wh_what|question_length_medium,28,1,Creator,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-37,known,stated_confidence_answer_confidence,The plans called for how many bits as a feature?,number|wh_other|question_length_medium,36,1,I don't know the answer to that question.,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-37,known,stated_confidence_answer_confidence,The plans called for how many bits as a feature?,number|wh_other|question_length_medium,36,1,I don't know the answer to that question.,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-38,known,stated_confidence_answer_confidence,What is the most common eye color in human beings?,definition|wh_what|question_length_medium,37,1,Brown,
amendment_b,,0.050000,selfaware,cluster_first_row,,selfaware-38,known,stated_confidence_answer_confidence,What is the most common eye color in human beings?,definition|wh_what|question_length_medium,37,1,Brown,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-38,known,stated_confidence_answer_confidence,What is the most common eye color in human beings?,definition|wh_what|question_length_medium,37,1,Brown,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-39,known,stated_confidence_answer_confidence,What is the average number of pups per litter?,number|definition|wh_what|question_length_medium,38,1,5,
amendment_b,,0.050000,selfaware,cluster_first_row,,selfaware-40,known,stated_confidence_answer_confidence,What body part do zombies crave?,wh_what|question_length_short,39,1,Brains,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-40,known,stated_confidence_answer_confidence,What body part do zombies crave?,wh_what|question_length_short,39,1,Brains,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-44,known,stated_confidence_answer_confidence,"Charlotte, Desiree and Rooster are varieties of which type of vegetable?",wh_other|question_length_medium,43,1,Cabbage,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-44,known,stated_confidence_answer_confidence,"Charlotte, Desiree and Rooster are varieties of which type of vegetable?",wh_other|question_length_medium,43,1,Cabbage,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-44,known,stated_confidence_answer_confidence,"Charlotte, Desiree and Rooster are varieties of which type of vegetable?",wh_other|question_length_medium,43,1,Cabbage,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-49,known,stated_confidence_answer_confidence,What is the exception to this common characteristic?,definition|wh_what|question_length_short,48,1,I don't know the answer to that question,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-49,known,stated_confidence_answer_confidence,What is the exception to this common characteristic?,definition|wh_what|question_length_short,48,1,I don't know the answer to that question.,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-49,known,stated_confidence_answer_confidence,What is the exception to this common characteristic?,definition|wh_what|question_length_short,48,1,I don't know the answer to that question.,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-51,known,stated_confidence_answer_confidence,How long has time travel been a topic in science fiction?,wh_how|question_length_medium,50,1,That falls beyond the scope of my knowledge.,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-51,known,stated_confidence_answer_confidence,How long has time travel been a topic in science fiction?,wh_how|question_length_medium,50,1,I don't know the answer to that question.,
amendment_b,,0.000000,selfaware,cluster_first_row,,selfaware-51,known,stated_confidence_answer_confidence,How long has time travel been a topic in science fiction?,wh_how|question_length_medium,50,1,I don't know the answer to that question.,
