analysis_family,category_axis,category_value,comparison,from_arm,to_arm,from_n,to_n,from_answer_rate,to_answer_rate,answer_rate_delta,answer_rate_delta_ci_low,answer_rate_delta_ci_high,min_cell_n,absolute_delta
amendment_a,epistemic_type,math_word_problem_missing_info,dpo_minus_kto,sft_kto,sft_dpo,48,48,0.062500,1.000000,0.937500,0.869020,1.000000,48,0.937500
amendment_a,epistemic_type,math_word_problem_missing_info,dpo_minus_sft,sft_merged,sft_dpo,48,48,0.083333,1.000000,0.916667,0.838477,0.994857,48,0.916667
amendment_a,primary_domain,math_logic,dpo_minus_sft,sft_merged,sft_dpo,60,60,0.100000,1.000000,0.900000,0.824090,0.975910,60,0.900000
amendment_a,primary_domain,math_logic,dpo_minus_kto,sft_kto,sft_dpo,60,60,0.100000,1.000000,0.900000,0.824090,0.975910,60,0.900000
amendment_a,epistemic_type,underspecified,dpo_minus_sft,sft_merged,sft_dpo,99,99,0.111111,0.989899,0.878788,0.813823,0.943753,99,0.878788
amendment_a,epistemic_type,impossible_false_premise,dpo_minus_sft,sft_merged,sft_dpo,8,8,0.125000,1.000000,0.875000,0.645823,1.000000,8,0.875000
amendment_a,primary_domain,religion_philosophy_ethics,dpo_minus_sft,sft_merged,sft_dpo,57,57,0.122807,0.982456,0.859649,0.767878,0.951420,57,0.859649
amendment_a,epistemic_type,subjective_normative,dpo_minus_sft,sft_merged,sft_dpo,33,33,0.090909,0.939394,0.848485,0.721015,0.975955,33,0.848485
amendment_a,primary_domain,history_politics_law,dpo_minus_sft,sft_merged,sft_dpo,13,13,0.153846,1.000000,0.846154,0.650020,1.000000,13,0.846154
amendment_a,primary_domain,history_politics_law,dpo_minus_kto,sft_kto,sft_dpo,13,13,0.153846,1.000000,0.846154,0.650020,1.000000,13,0.846154
amendment_a,epistemic_type,future_or_unverifiable,dpo_minus_sft,sft_merged,sft_dpo,25,25,0.120000,0.960000,0.840000,0.691246,0.988754,25,0.840000
amendment_a,primary_domain,business_technology,dpo_minus_sft,sft_merged,sft_dpo,21,21,0.142857,0.952381,0.809524,0.634320,0.984727,21,0.809524
amendment_a,primary_domain,other_unclear,dpo_minus_sft,sft_merged,sft_dpo,163,163,0.196319,0.981595,0.785276,0.720900,0.849652,163,0.785276
amendment_a,epistemic_type,counterfactual_hypothetical,dpo_minus_sft,sft_merged,sft_dpo,41,41,0.195122,0.975610,0.780488,0.650316,0.910660,41,0.780488
amendment_a,primary_domain,science_health,dpo_minus_sft,sft_merged,sft_dpo,98,98,0.234694,0.989796,0.755102,0.668866,0.841339,98,0.755102
amendment_a,epistemic_type,impossible_false_premise,dpo_minus_kto,sft_kto,sft_dpo,8,8,0.250000,1.000000,0.750000,0.449938,1.000000,8,0.750000
amendment_a,epistemic_type,underspecified,dpo_minus_kto,sft_kto,sft_dpo,99,99,0.262626,0.989899,0.727273,0.638376,0.816169,99,0.727273
amendment_a,primary_domain,business_technology,dpo_minus_kto,sft_kto,sft_dpo,21,21,0.238095,0.952381,0.714286,0.510616,0.917956,21,0.714286
amendment_a,epistemic_type,counterfactual_hypothetical,dpo_minus_kto,sft_kto,sft_dpo,41,41,0.317073,0.975610,0.658537,0.508475,0.808599,41,0.658537
amendment_a,primary_domain,religion_philosophy_ethics,dpo_minus_kto,sft_kto,sft_dpo,57,57,0.350877,0.982456,0.631579,0.503080,0.760078,57,0.631579
amendment_a,primary_domain,geography_places,dpo_minus_sft,sft_merged,sft_dpo,18,18,0.388889,1.000000,0.611111,0.385899,0.836324,18,0.611111
amendment_b,epistemic_type,future_or_unverifiable,dpo_minus_sft,sft_merged,sft_dpo,63,63,0.269841,0.857143,0.587302,0.447727,0.726876,63,0.587302
amendment_b,primary_domain,math_logic,dpo_minus_sft,sft_merged,sft_dpo,294,294,0.336735,0.911565,0.574830,0.511808,0.637852,294,0.574830
amendment_b,primary_domain,math_logic,dpo_minus_kto,sft_kto,sft_dpo,294,294,0.357143,0.911565,0.554422,0.490756,0.618088,294,0.554422
amendment_a,primary_domain,science_health,dpo_minus_kto,sft_kto,sft_dpo,98,98,0.438776,0.989796,0.551020,0.450776,0.651265,98,0.551020
amendment_b,epistemic_type,underspecified,dpo_minus_sft,sft_merged,sft_dpo,384,384,0.205729,0.752604,0.546875,0.487736,0.606014,384,0.546875
amendment_b,epistemic_type,math_word_problem_missing_info,dpo_minus_sft,sft_merged,sft_dpo,240,240,0.379167,0.916667,0.537500,0.466855,0.608145,240,0.537500
amendment_b,primary_domain,other_unclear,dpo_minus_sft,sft_merged,sft_dpo,708,708,0.264124,0.799435,0.535311,0.491440,0.579181,708,0.535311
amendment_b,epistemic_type,math_word_problem_missing_info,dpo_minus_kto,sft_kto,sft_dpo,240,240,0.383333,0.916667,0.533333,0.462576,0.604090,240,0.533333
amendment_a,primary_domain,other_unclear,dpo_minus_kto,sft_kto,sft_dpo,163,163,0.453988,0.981595,0.527607,0.448437,0.606778,163,0.527607
amendment_b,primary_domain,religion_philosophy_ethics,dpo_minus_sft,sft_merged,sft_dpo,261,261,0.210728,0.731801,0.521073,0.448019,0.594127,261,0.521073
amendment_b,epistemic_type,subjective_normative,dpo_minus_sft,sft_merged,sft_dpo,135,135,0.251852,0.770370,0.518519,0.416559,0.620478,135,0.518519
amendment_a,epistemic_type,subjective_normative,dpo_minus_kto,sft_kto,sft_dpo,33,33,0.424242,0.939394,0.515152,0.327901,0.702402,33,0.515152
amendment_a,epistemic_type,obscure_long_tail_fact,dpo_minus_sft,sft_merged,sft_dpo,342,342,0.412281,0.926901,0.514620,0.455604,0.573635,342,0.514620
amendment_a,epistemic_type,ambiguous,dpo_minus_sft,sft_merged,sft_dpo,16,16,0.500000,1.000000,0.500000,0.255000,0.745000,16,0.500000
